route_id,direction_id,trip_id,arrival_time,departure_time,stop_id,stop_sequence,dwell,travel_time,dwell_min,dwell_max,stop_name
AGL,0,AGL_MonFri_0,6:00:00,,AG18,1,18,0,,,AMPANG
AGL,0,AGL_Sat_0,6:00:00,,AG18,1,18,0,,,AMPANG
AGL,0,AGL_Sun_0,6:00:00,,AG18,1,18,0,,,AMPANG
AGL,0,AGL_MonFri_0,0,,AG17,2,18,105,,,CAHAYA
AGL,0,AGL_Sat_0,0,,AG17,2,18,105,,,CAHAYA
AGL,0,AGL_Sun_0,0,,AG17,2,18,105,,,CAHAYA
AGL,0,AGL_MonFri_0,0,,AG16,3,18,54,,,CEMPAKA
AGL,0,AGL_Sat_0,0,,AG16,3,18,54,,,CEMPAKA
AGL,0,AGL_Sun_0,0,,AG16,3,18,54,,,CEMPAKA
AGL,0,AGL_MonFri_0,0,,AG15,4,18,70,,,PANDAN INDAH
AGL,0,AGL_Sat_0,0,,AG15,4,18,70,,,PANDAN INDAH
AGL,0,AGL_Sun_0,0,,AG15,4,18,70,,,PANDAN INDAH
AGL,0,AGL_MonFri_0,0,,AG14,5,18,80,,,PANDAN JAYA
AGL,0,AGL_Sat_0,0,,AG14,5,18,80,,,PANDAN JAYA
AGL,0,AGL_Sun_0,0,,AG14,5,18,80,,,PANDAN JAYA
AGL,0,AGL_MonFri_0,0,,AG13,6,18,109,,,MALURI
AGL,0,AGL_Sat_0,0,,AG13,6,18,109,,,MALURI
AGL,0,AGL_Sun_0,0,,AG13,6,18,109,,,MALURI
AGL,0,AGL_MonFri_0,0,,AG12,7,18,83,,,MIHARJA
AGL,0,AGL_Sat_0,0,,AG12,7,18,83,,,MIHARJA
AGL,0,AGL_Sun_0,0,,AG12,7,18,83,,,MIHARJA
AGL,0,AGL_MonFri_0,0,,AG11,8,18,82,,,CHAN SOW LIN
AGL,0,AGL_Sat_0,0,,AG11,8,18,82,,,CHAN SOW LIN
AGL,0,AGL_Sun_0,0,,AG11,8,18,82,,,CHAN SOW LIN
AGL,0,AGL_MonFri_0,0,,AG10,9,18,87,,,PUDU
AGL,0,AGL_Sat_0,0,,AG10,9,18,87,,,PUDU
AGL,0,AGL_Sun_0,0,,AG10,9,18,87,,,PUDU
AGL,0,AGL_MonFri_0,0,,AG9,10,18,73,,,HANG TUAH
AGL,0,AGL_Sat_0,0,,AG9,10,18,73,,,HANG TUAH
AGL,0,AGL_Sun_0,0,,AG9,10,18,73,,,HANG TUAH
